"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5457,"Ironman 70.3 Muskoka",2011,10831,"9/11/11","Muskoka, Canada","Ironman 70.3",100.00,42.00,13.80,983.00,3997.00,78.80,46.40
5459,"Ironman 70.3 Lanzarote",2011,56500,"10/8/11","Lanzarote, Spain","Ironman 70.3",83.00,42.00,23.00,100.00,4856.00,81.90,69.80
5465,"Ironman 70.3 Cozumel",2011,99955,"9/18/11","Cozumel, Mexico","Ironman 70.3",100.00,70.00,11.40,14.00,360.00,86.00,69.80
5471,"Ironman 70.3 Augusta",2011,61447,"9/25/11","Augusta, GA, USA","Ironman 70.3",100.00,61.00,17.30,141.00,1610.00,91.00,69.10
5478,"Ironman 70.3 Port Macquarie",2011,20537,"11/6/11","Port Macquarie, Australia","Ironman 70.3",100.00,24.00,10.30,16.00,2191.00,81.90,55.80
5484,"Ironman 70.3 Austin",2011,7141,"9/23/11","Austin, TX, USA","Ironman 70.3",68.00,20.00,17.30,489.00,1769.00,91.40,66.20
5487,"Ironman 70.3 Miami",2011,64341,"9/30/11","Miami, FL, USA","Ironman 70.3",85.00,47.00,15.00,6.00,1029.00,91.90,78.80
5501,"Ironman 70.3 South Africa",2011,92350,"1/23/11","Buffalo City, South Africa","Ironman 70.3",100.00,83.00,19.40,233.00,4499.00,74.30,65.50
5505,"Ironman 70.3 Geelong",2011,30692,"2/20/11","Geelong, Australia","Ironman 70.3",94.00,37.00,21.90,50.00,2490.00,67.80,50.70
5508,"Kinetic Half Ironman",2011,21842,"5/14/11","Spotsylvania, VA, USA","Half Ironman",100.00,96.00,7.00,267.00,2815.00,70.00,60.00
5070,"Ironman St. Croix 70.3",2010,56293,"5/2/2010","St. Croix, USA","Ironman 70.3",88.00,59.00,17.00,20.00,3140.00,88.00,77.00
5234,"Ironman 70.3 Eagleman",2010,93659,"6/13/2010","Cambridge, MD, USA","Ironman 70.3",94.00,66.00,12.00,20.00,490.00,91.00,73.00
5251,"Ironman 70.3 Hawaii",2010,9682,"6/5/10","Kohala Coast, HI, USA","Ironman 70.3",90.00,47.00,18.30,40.00,2928.00,82.90,68.00
5292,"Ironman 70.3 California",2010,34041,"3/27/10","Oceanside, CA, USA","Ironman 70.3",100.00,25.00,11.40,66.00,2416.00,82.40,39.20
5295,"Ironman 70.3 Texas",2010,72238,"4/25/10","Galveston, TX, USA","Ironman 70.3",73.00,29.00,19.70,0.00,338.00,84.90,64.90
5302,"Ironman 70.3 New Orleans",2010,66835,"4/18/10","New Orleans, LA, USA","Ironman 70.3",87.00,40.00,10.30,0.00,427.00,81.00,55.00
5309,"Ironman 70.3 Florida",2010,34695,"5/16/10","Haines City, FL, USA","Ironman 70.3",93.00,42.00,13.80,162.00,1673.00,89.60,73.40
5330,"Ironman 70.3 St. Polten",2010,23825,"5/30/10","St. Polten, Austria","Ironman 70.3",100.00,62.00,17.30,876.00,3528.00,68.70,57.20
5335,"Ironman 70.3 Rapperswil-Jona",2010,90712,"6/6/10","Rapperswi0a, Switzerland","Ironman 70.3",94.00,26.00,9.20,1338.00,3742.00,82.00,59.20
5347,"Ironman 70.3 Boise",2010,48187,"6/12/10","Boise, ID, USA","Ironman 70.3",66.00,20.00,25.30,2710.00,1684.00,82.90,44.10
5358,"Ironman 70.3 UK",2010,88618,"6/20/10","Wimbleball, UK","Ironman 70.3",82.00,35.00,13.80,800.00,6185.00,70.00,35.80
5365,"Ironman 70.3 Boulder",2010,70132,"8/8/10","Boulder, CO, USA","Ironman 70.3",83.00,24.00,11.40,5430.00,2405.00,87.80,59.00
5370,"Ironman 70.3 Syracuse",2010,12266,"9/19/10","Syracuse, NY, USA","Ironman 70.3",90.00,52.00,12.80,685.00,3486.00,71.10,43.00
5380,"Ironman 70.3 Buffalo Springs Lake",2010,27670,"6/27/10","Lubbock, TX, USA","Ironman 70.3",81.00,30.00,23.00,2873.00,1870.00,97.00,69.10
5393,"Ironman 70.3 Vineman",2010,22764,"7/18/10","Windsor, CA, USA","Ironman 70.3",100.00,34.00,15.00,164.00,2440.00,87.10,53.60
5401,"Ironman 70.3 Racine",2010,61062,"7/18/10","Racine, WI, USA","Ironman 70.3",87.00,50.00,21.90,617.00,1655.00,91.00,73.90
5404,"Ironman 70.3 Philippines",2010,84977,"8/22/10","Cebu, Philippines","Ironman 70.3",98.00,67.00,6.60,56.00,1162.00,92.10,74.50
5411,"Ironman 70.3 Wiesbaden",2010,44937,"8/15/10","Wiesbaden, Germany","Ironman 70.3",100.00,59.00,13.80,377.00,5721.00,73.00,57.20
5422,"Ironman 70.3 Steelhead",2010,77882,"7/31/10","Benton Harbor, Michigan","Ironman 70.3",93.00,60.00,11.40,591.00,1954.00,79.00,66.00
5436,"Ironman 70.3 Timberman",2010,34567,"8/22/10","Gilford, NH, USA","Ironman 70.3",88.00,60.00,10.30,745.00,3115.00,77.00,59.00
